scan	target_index	X	Y
0	0	100	300
0	1	100	450
0	2	150	100
0	3	150	520
0	4	387.5	80

1	0	115.0000793575719	300.00058893744995
1	1	115.0000842267914	440.00012498748686
1	2	164.99981221922903	109.99926925253229
1	3	164.99890676705803	520.0000461745022
1	4	387.4994056647639	95.00005331976561

2	0	129.99961674927272	300.00162544729744
2	1	129.99999974859975	430.0000990688946
2	2	179.99966856681797	119.99758322206091
2	3	179.99701342686	520.0005684622558
2	4	387.49858893553437	109.99946081363098

3	0	144.99813677246135	300.0022498549062
3	1	144.99985744988814	419.9999167417628
3	2	195.00059987600454	129.99626630691665
3	3	194.9953617319953	520.0004650531831
3	4	387.49872662522876	124.99736344210483

4	0	159.9964023589154	300.0025555196128
4	1	159.99901330259945	410.0002516278859
4	2	210.00297867754534	139.99529489338863
4	3	209.99382909006454	519.9999104045997
4	4	387.49878209945945	139.99471825146355

5	0	174.99459376220545	300.00354181362775
5	1	174.99781194905134	400.00035247016444
5	2	225.00539428596142	149.99375275822376
5	3	224.99274565303173	520.0000959629749
5	4	387.49830236231605	154.9924177187428

6	0	189.992429769871	300.0059502804598
6	1	189.99670067732492	389.99943219324234
6	2	240.007646565678	159.99154864172638
6	3	239.99201739116666	520.0010312141284
6	4	387.49820278133967	169.99062225969877

7	0	204.9898247993	300.0098430970302
7	1	204.9945977536724	379.99799835504774
7	2	255.01063852285913	169.98899357267777
7	3	254.99171835805808	520.002403010086
7	4	387.49797799204305	184.98942649128517

8	0	219.9864623473361	300.01381886156287
8	1	219.99148062491665	369.99705742395275
8	2	270.01391942967973	179.9866219818672
8	3	269.99128947747096	520.0028240750853
8	4	387.49735253340845	199.98859518176576

9	0	234.98306987811543	300.0178264336299
9	1	234.98832898206018	359.9966426677104
9	2	285.0173238283012	189.9843968466746
9	3	284.9898399639403	520.0023579385971
9	4	387.4968343122658	214.98736543665905

10	0	249.9802738791714	300.0215982731006
10	1	249.98659268368044	349.996571391393
10	2	300.02083595728215	199.98259485583486
10	3	299.9879382098187	520.0020260322947
10	4	387.49602765781896	229.98637709551275

11	0	264.978227353109	300.02459420114195
11	1	264.98528684800374	339.99675739892564
11	2	315.0246380133295	209.98187289597766
11	3	314.98573641772856	520.0024712766923
11	4	387.4949152281495	244.9862402238282

12	0	279.97627764816605	300.02820483670075
12	1	279.98274224941804	329.9971179329632
12	2	330.02884251233155	219.98315805029688
12	3	329.98279104472897	520.003434801468
12	4	387.49307321142453	259.9857015996498

13	0	294.9732668023113	300.03217623577893
13	1	294.9796873533368	319.9981570430269
13	2	345.03250982211637	229.98551974519202
