scan	target_index	X	Y
0	0	100	300
0	1	100	450
0	2	150	100
0	3	150	520
0	4	387.5	80

1	0	114.99922484154627	300.0008837171489
1	1	115.00103205861332	439.9997765796456
1	2	164.9998206391817	110.00066984826377
1	3	165.00037826134465	520.0003116011312
1	4	387.50044718525993	94.99962548072625

2	0	129.99734294143755	300.00367646980794
2	1	130.00398301951915	429.9996389127036
2	2	179.99795221528237	120.00185234575707
2	3	180.0013511486488	520.001121223042
2	4	387.5013819602609	109.99789124843092

3	0	144.99476860543368	300.0082047492914
3	1	145.00844744062036	419.9995259066286
3	2	194.99415604522673	130.00274302090463
3	3	195.00246829441647	520.0031863865829
3	4	387.50263788564007	124.9948619613066

4	0	159.99191275748885	300.01350318193954
4	1	160.01436421440116	409.99901532690035
4	2	209.98933785582417	140.00343607803714
4	3	210.00319731477177	520.0058520236489
4	4	387.5036941726675	139.99151200900437

5	0	174.9897192306686	300.01936625187295
5	1	175.02091703724003	399.99868786577883
5	2	224.98406172806995	150.00493940898934
5	3	225.00401456303558	520.0075443286797
5	4	387.5045860376309	154.98849719122543

6	0	189.98790589095577	300.02531235095216
6	1	190.0270740162358	389.9990752676697
6	2	239.97934843774726	160.0072038773549
6	3	240.00571553340518	520.0090428006376
6	4	387.50535367043244	169.98629122224787

7	0	204.98605883197857	300.03155888474953
7	1	205.03350647566094	380.0003051183833
7	2	254.9746762636247	170.0093428713423
7	3	255.00767897850807	520.0111677162986
7	4	387.5055706035614	184.98436443222081

8	0	219.98412185259036	300.0380298307469
8	1	220.04036585450774	370.0023122918878
8	2	269.969171504974	180.0116816209679
8	3	270.0093197428781	520.0146204307895
8	4	387.5059025395332	199.98273555382363

9	0	234.98204895213848	300.04378636395023
9	1	235.0469795068303	360.0040421309927
9	2	284.96309401288784	190.01452526335413
9	3	285.01073532357583	520.0185557960158
9	4	387.5065517198601	214.98154737172538

10	0	249.9801605420707	300.04861256741884
10	1	250.05484457203843	350.00567952009646
10	2	299.95669551488726	200.01825135380295
10	3	300.01187832103375	520.0212981668119
10	4	387.50671487782233	229.980534783727

11	0	264.97842813533754	300.05282465193534
11	1	265.0642109127215	340.0081795250098
11	2	314.94990369538414	210.02266996427653
11	3	315.0126271749	520.0243529789038
11	4	387.507126116762	244.97949866959803

12	0	279.976895891648	300.0574699889343
12	1	280.0733873530612	330.0113674821347
12	2	329.9438821748259	220.0276395391194
12	3	330.0135837002755	520.0290996101267
12	4	387.5083064133329	259.9780178156284

13	0	294.97544034480933	300.06188102663543
13	1	295.08320776749343	320.01414945256835
13	2	344.93832810481575	230.03275446867838
