scan	target_index	X	Y
0	0	100	300
0	1	100	450
0	2	150	100
0	3	150	520
0	4	387.5	80

1	0	115.00072801094645	300.00042758364776
1	1	114.99934051771218	440.00060305963115
1	2	165.00010334163284	110.00117877359608
1	3	164.9999333773565	520.0006136869508
1	4	387.49953915430524	95.00005667007612

2	0	130.00167257802957	300.0010166963689
2	1	129.99902853486543	430.0022230540316
2	2	180.00039741437772	120.0034339993379
2	3	179.99999668532016	520.0013923784431
2	4	387.4988754848863	110.0007879732167

3	0	145.00215953815922	300.0017919874698
3	1	144.99876625462898	420.0041741063589
3	2	195.0003522708969	130.00623192311096
3	3	194.99980031328136	520.0021060565653
3	4	387.49898266658624	125.00128378228521

4	0	160.00228605868563	300.00272350839555
4	1	159.99668218105987	410.0059499791143
4	2	209.99967745994604	140.00974463594596
4	3	209.9985574541722	520.0023526424688
4	4	387.49966616108094	140.0018009735655

5	0	175.00156927367743	300.0029930037531
5	1	174.99401522187435	400.00720008718633
5	2	224.99852772717236	150.01380801472098
5	3	224.99708077865807	520.0014679913276
5	4	387.5009338662063	155.0030440435179

6	0	190.00061592100977	300.0021487088703
6	1	189.9912161691521	390.0081743923309
6	2	239.99711828865014	160.0180864766878
6	3	239.9958939554999	520.0005971121632
6	4	387.503398919319	170.00451339237216

7	0	204.99932532534896	300.0008190895032
7	1	204.988851744946	380.00963828846216
7	2	254.99502947316998	170.02173866633245
7	3	254.99490286772462	519.999953242297
7	4	387.50659787819	185.00585341885747

8	0	219.9976755744765	300.0001709519431
8	1	219.9870824086757	370.0109228712003
8	2	269.9919187200718	180.0244728377859
8	3	269.9936112714072	519.9986896885445
8	4	387.50943715232785	200.0063373853863

9	0	234.99666270493734	299.99942681502876
9	1	234.9853281644312	360.0121167947555
9	2	284.98810580075514	190.0267386939185
9	3	284.99245767416903	519.9960900901671
9	4	387.51235155673373	215.00682747562988

10	0	249.9955608979489	299.9988444762469
10	1	249.98337157787827	350.0130339993506
10	2	299.9839572816059	200.02872724712597
10	3	299.9916472772976	519.9925744908842
10	4	387.5149684695756	230.00731659366582

11	0	264.99356218025815	299.9979285852057
11	1	264.9809234405063	340.0134928951265
11	2	314.97899286615643	210.03008461280785
11	3	314.99057590254966	519.9894619020364
11	4	387.51681855725286	245.00701675017478

12	0	279.9912430089307	299.9962552168723
12	1	279.9781680547909	330.0139428760919
12	2	329.9731624601331	220.03145849312128
12	3	329.98988803866195	519.9869167941333
12	4	387.51876929309736	260.006836873285

13	0	294.98918833417645	299.9939574277251
13	1	294.975328208491	320.01419603741385
13	2	344.9671099638941	230.0332491568361
