scan	target_index	X	Y
0	0	100	300
0	1	100	450
0	2	150	100
0	3	150	520
0	4	387.5	80

1	0	115.00053396871792	300.0001545983462
1	1	115.0001349939609	440.0000938657863
1	2	164.99958230454774	110.00065057965939
1	3	165.00069291588449	520.0007339436588
1	4	387.49999168859864	95.00036157350152

2	0	130.0019454936679	299.99960839143324
2	1	130.00007592718651	430.00011623484164
2	2	179.99891022706555	120.00216176290411
2	3	180.00280935649897	520.0024148382796
2	4	387.4996560338702	110.00138660931069

3	0	145.0032076490612	299.99758283589193
3	1	144.99963319123196	419.99974831076355
3	2	194.99861142877646	130.00366876488297
3	3	195.00574282708894	520.004060332118
3	4	387.49906519819064	125.00234960537315

4	0	160.00388535347943	299.99575739961136
4	1	159.9995753284208	409.99907348147775
4	2	209.99802883271403	140.00513450308435
4	3	210.00875782443507	520.0055659776859
4	4	387.4991040616597	140.00250889163357

5	0	175.00444169877744	299.9948862603344
5	1	175.0004146861247	399.9992830327243
5	2	224.99717465589006	150.0061341596598
5	3	225.01159999135467	520.0068573308604
5	4	387.49987053649454	155.00197488825418

6	0	190.00504379134372	299.99392664458134
6	1	190.00194242368286	390.00104598942704
6	2	239.99693509829058	160.00698252655164
6	3	240.01456582151417	520.0079270218239
6	4	387.5007435326694	170.00155705913167

7	0	205.00435205485036	299.9932217115608
7	1	205.00364604316727	380.00234517829506
7	2	254.99711951253408	170.00799058546008
7	3	255.0173243091677	520.0093512730396
7	4	387.5019164710917	185.0011355047633

8	0	220.00211244444472	299.99262607296396
8	1	220.005561470853	370.0020471595861
8	2	269.998165877459	180.0084619081598
8	3	270.02010362959845	520.0111187434989
8	4	387.5040121271528	200.00027214579634

9	0	234.9994110237013	299.99125877872603
9	1	235.0073388895736	360.00178579521776
9	2	285.0000904878033	190.00937282342565
9	3	285.02372945519585	520.0126559763537
9	4	387.506650875761	214.99970733200118

10	0	249.9962219965483	299.9892191592389
10	1	250.00854085778104	350.00214484265774
10	2	300.00215435464236	200.01075031687338
10	3	300.027985951325	520.0141052500235
10	4	387.50873661158374	229.99972458879466

11	0	264.99269880698324	299.9861271076898
11	1	265.00926539086214	340.0025343701388
11	2	315.00464712443784	210.01229109871537
11	3	315.0322297260445	520.0161993602367
11	4	387.5107494813405	244.99977671276454

12	0	279.9895848956129	299.9823298914345
12	1	280.0098245612735	330.00236394813646
12	2	330.007882462975	220.01376269140445
12	3	330.0360843472426	520.017909285063
12	4	387.51284907246816	259.9995929941472

13	0	294.9873974482816	299.97859236349
13	1	295.0112161463438	320.0018265940015
13	2	345.0119146291947	230.0148274913001
