scan	target_index	X	Y
0	0	100	300
0	1	100	450
0	2	150	100
0	3	150	520
0	4	387.5	80

1	0	115.00006643633994	299.99989941914964
1	1	114.99942017945132	439.99950520077863
1	2	165.00037732851402	110.00009817971346
1	3	165.00083314259757	520.0005712947517
1	4	387.49973024601894	95.00127418334905

2	0	130.00067865557838	299.9994180091017
2	1	129.99834912895022	429.99854554325606
2	2	180.00062930082518	120.00060283216162
2	3	180.0015809675831	520.0029262713157
2	4	387.49937071018826	110.00379313296689

3	0	145.0010767625473	299.99863237876656
3	1	144.9968045635423	419.9975685881351
3	2	195.00047950271716	130.002078805755
3	3	195.00230925227115	520.0062761014898
3	4	387.49930427425977	125.00574650386876

4	0	160.0003790357261	299.9973774200167
4	1	159.99499703971316	409.99686408873157
4	2	210.0016682869946	140.00422977077133
4	3	210.003603784201	520.0089899827427
4	4	387.4993614401599	140.00713821716442

5	0	175.0001905040195	299.9952796430954
5	1	174.99448211500166	399.9971350194664
5	2	225.004149286297	150.00684641538567
5	3	225.00477570921862	520.0111503040862
5	4	387.49907558003576	155.00850155800617

6	0	190.00171718341858	299.99255733408455
6	1	189.99522772732823	389.99814001714026
6	2	240.00746559831927	160.00976707149968
6	3	240.00627081067063	520.0127542420113
6	4	387.498953855605	170.0093152104365

7	0	205.0037547345783	299.98881275453977
7	1	204.99673314604232	380.0000428653983
7	2	255.01250133703485	170.012792909874
7	3	255.00811936277992	520.0137718779894
7	4	387.49996128093153	185.00867564661186

8	0	220.00550753677945	299.98488862402036
8	1	219.99771319777182	370.00334205958296
8	2	270.01801734576475	180.01517856191646
8	3	270.0111938892446	520.0144147323566
8	4	387.5019696290425	200.00761516310862

9	0	235.00708633627548	299.9812710261174
9	1	234.9972087900739	360.00686815697924
9	2	285.02315709385954	190.01675918119065
9	3	285.0150216970382	520.0143684646256
9	4	387.5043231130007	215.00715498088292

10	0	250.0081299801423	299.97782931821456
10	1	249.9961220158023	350.0105080608264
10	2	300.02881708964	200.01769816591485
10	3	300.0186784531181	520.0135849998437
10	4	387.5071223072844	230.00658179712607

11	0	265.00698405799926	299.9754006524047
11	1	264.9951617048943	340.0154277492387
11	2	315.0346427604278	210.019217450127
11	3	315.0230223211017	520.0122076335819
11	4	387.510731520454	245.00571128873358

12	0	280.00490077191887	299.973635968284
12	1	279.9945855748006	330.02146852792043
12	2	330.03943171627014	220.0222013850491
12	3	330.0271256167699	520.0108258769458
12	4	387.5147080354256	260.00449869981713

13	0	295.00342450133655	299.97239095775393
13	1	294.994688755965	320.02819169278314
13	2	345.0437869951021	230.02603310039046
